"","X_id","dzNum","latitude","longitude","bigLat","bigLon"
"2332",163514,6,36.99475,126.8357,"37","126.8"
"2416",163609,5,35.24709,128.6825,"35.2","128.7"
"2551",163806,6,37.32134,126.9426,"37.3","126.9"
"2630",163631,6,37.6747926,126.8128725,"37.7","126.8"
"2798",165365,7,37.4118762,127.1282884,"37.4","127.1"
"2901",163869,14,35.1526399,128.9908173,"35.2","129"
"3029",163709,7,37.4947798,126.8547543,"37.5","126.9"
"6",164493,5,36.34446,127.3889,"36.3","127.4"
"78",164259,5,37.59021,126.7022,"37.6","126.7"
"103",164628,6,35.15687,129.0529,"35.2","129.1"
"106",164926,12,37.3427,126.8196,"37.3","126.8"
"201",164293,7,35.53243,129.2978,"35.5","129.3"
"241",164429,7,35.1508942,126.847103,"35.2","126.8"
"271",164345,21,35.16428,129.1773,"35.2","129.2"
"552",164747,5,37.8813153,127.7299707,"37.9","127.7"
"590",164894,7,35.85398,128.6164,"35.9","128.6"
"885",164134,6,37.49461,127.0407,"37.5","127"
"943",164411,5,37.4897894,126.7819926,"37.5","126.8"
"1085",164639,12,35.08777,129.0414,"35.1","129"
"1216",164393,7,37.52726,126.8989,"37.5","126.9"
"1391",164415,5,37.2699005,127.039321,"37.3","127"
"1457",164565,4,35.51429,129.4203,"35.5","129.4"
"1471",164379,6,37.3823671,127.3044742,"37.4","127.3"
"1507",164162,5,37.89897,127.7288,"37.9","127.7"
"1585",164156,12,37.2061952,127.0709092,"37.2","127.1"
"1797",164673,6,37.39402,127.1276,"37.4","127.1"
"1803",165466,21,37.88879,127.0523,"37.9","127.1"
"1917",164749,21,37.20471,127.1126,"37.2","127.1"
"1933",164308,5,37.6641002,127.0363019,"37.7","127"
"2023",164340,0,37.64201,126.831,"37.6","126.8"
"2052",164370,4,37.47458,126.9814,"37.5","127"
"2141",164300,21,37.28385,126.8595,"37.3","126.9"
"2143",164304,5,37.28385,126.8595,"37.3","126.9"
"2347",164492,21,35.25859,128.8662,"35.3","128.9"
"2902",164306,7,35.1526399,128.9908173,"35.2","129"
"3102",164605,22,38.2018435,128.5753004,"38.2","128.6"
"3159",164516,7,37.36166773,126.96771171,"37.4","127"
"3163",164045,0,37.5454212,126.6759723,"37.5","126.7"
"3166",164189,5,37.5577956,126.8580332,"37.6","126.9"
"44",165135,5,35.43507,129.3109,"35.4","129.3"
"167",166000,14,37.6068135,127.0085234,"37.6","127"
"177",164779,2,35.5563389,129.12095,"35.6","129.1"
"277",164959,5,37.61562,127.1117,"37.6","127.1"
"415",165393,5,33.52516,126.5864,"33.5","126.6"
"476",164795,5,37.20336,127.0744,"37.2","127.1"
"500",165104,5,35.23176,128.4973,"35.2","128.5"
"524",165602,5,36.78188213927,126.949624416487,"36.8","126.9"
"758",164834,6,35.1069763,128.8072251,"35.1","128.8"
"759",164979,7,35.1069763,128.8072251,"35.1","128.8"
"902",165005,6,34.9028735,128.6856008,"34.9","128.7"
"1282",165196,5,37.48301,127.5932,"37.5","127.6"
"1443",164690,7,37.20684,127.0604,"37.2","127.1"
"1604",166093,6,37.54839,127.0457,"37.5","127"
"1609",164753,0,35.83922,128.6111,"35.8","128.6"
"1619",165216,6,36.83271,127.1909,"36.8","127.2"
"1646",166154,5,37.4094099,126.6783088,"37.4","126.7"
"1677",165386,7,35.19932,126.8405,"35.2","126.8"
"1703",164970,7,37.66311,126.8879,"37.7","126.9"
"1804",165465,5,37.88879,127.0523,"37.9","127.1"
"2058",165230,5,35.23352,128.8626,"35.2","128.9"
"2090",165154,6,36.84077,126.4468,"36.8","126.4"
"2169",165268,2,35.26528,129.088,"35.3","129.1"
"2198",165583,21,37.36704,127.1712,"37.4","127.2"
"2346",165002,5,37.23534,127.2028,"37.2","127.2"
"2516",164742,22,37.46303,126.8757,"37.5","126.9"
"2550",165050,20,37.32134,126.9426,"37.3","126.9"
"2595",167820,5,36.35333,127.3178,"36.4","127.3"
"2786",165212,5,35.251475,129.0899152,"35.3","129.1"
"2977",165371,0,37.3075874,127.6392827,"37.3","127.6"
"3006",165059,2,37.3585813,126.9213964,"37.4","126.9"
"3087",165251,22,35.2145159,126.8692139,"35.2","126.9"
"3093",164950,12,35.3082841,128.729823,"35.3","128.7"
"5",165688,7,37.22627,127.0456,"37.2","127"
"62",165927,6,37.44774,126.7134,"37.4","126.7"
"72",166162,0,37.41478,127.1562,"37.4","127.2"
"118",167359,21,35.82343,128.6299,"35.8","128.6"
"247",165942,7,35.5394155,129.3909962,"35.5","129.4"
"278",165686,5,37.61562,127.1117,"37.6","127.1"
"449",165483,5,35.1725836,129.0871486,"35.2","129.1"
"499",165700,7,35.23176,128.4973,"35.2","128.5"
"867",165443,6,34.97682,127.4759,"35","127.5"
"903",165899,5,34.9028735,128.6856008,"34.9","128.7"
"1086",166055,5,37.36499,127.1678,"37.4","127.2"
"1515",165795,6,35.5151,129.4268,"35.5","129.4"
"1700",165979,5,37.61759,126.838,"37.6","126.8"
"1865",165673,6,37.7205,127.2029,"37.7","127.2"
"1932",166045,6,36.789796,127.0018494,"36.8","127"
"2037",165659,7,35.17526,129.1778,"35.2","129.2"
"2075",165765,0,37.25846,127.0412,"37.3","127"
"2083",166126,21,36.15223,128.3304,"36.2","128.3"
"2176",166034,6,37.58607,127.2133,"37.6","127.2"
"2235",165709,6,37.39684,126.9514,"37.4","127"
"2246",166040,4,35.2564,128.6033,"35.3","128.6"
"2361",165814,6,37.54209,127.4608,"37.5","127.5"
"2410",166038,12,36.00208,129.1942,"36","129.2"
"2675",166314,5,35.8250555,128.7415441,"35.8","128.7"
"2682",165769,12,37.2315729,127.2116248,"37.2","127.2"
"2754",165983,5,37.4629932,127.0308922,"37.5","127"
"3025",165869,14,37.2635727,127.0286009,"37.3","127"
"204",166571,0,35.04576,127.7635,"35","127.8"
"286",166661,15,37.39265,127.1257,"37.4","127.1"
"324",166286,22,37.5637561,126.9084211,"37.6","126.9"
"562",166287,7,37.45848,126.703,"37.5","126.7"
"638",166433,6,35.83388,128.5548,"35.8","128.6"
"831",166225,21,36.51079,127.2299,"36.5","127.2"
"858",166481,12,35.56103,129.1136,"35.6","129.1"
"1344",166219,22,37.2635727,127.0286009,"37.3","127"
"1605",166274,0,37.54839,127.0457,"37.5","127"
"1873",166215,6,37.50667,126.7687,"37.5","126.8"
"1877",166399,0,37.39822,127.1229,"37.4","127.1"
"1968",166560,6,37.6541917,127.056793,"37.7","127.1"
"2017",167132,5,35.16211,129.0661,"35.2","129.1"
"2084",166363,6,36.15223,128.3304,"36.2","128.3"
"2120",166721,5,37.13106,126.9246,"37.1","126.9"
"2149",166457,12,35.23199,129.0119,"35.2","129"
"2640",166320,6,37.59505003,127.21174057,"37.6","127.2"
"2848",166904,22,37.5851659,127.007339,"37.6","127"
"2869",166345,12,35.8179804,128.7574412,"35.8","128.8"
"3149",166201,5,35.8689435,127.1245309,"35.9","127.1"
"55",167013,7,37.19553,127.0327,"37.2","127"
"129",166601,7,37.46391,127.128,"37.5","127.1"
"262",166953,0,37.32583,127.0916,"37.3","127.1"
"292",167863,5,37.72063,127.1985,"37.7","127.2"
"465",167044,22,35.2685813,128.8697936,"35.3","128.9"
"503",167335,21,37.35077,127.1607,"37.4","127.2"
"600",167227,7,35.53437,129.4306,"35.5","129.4"
"645",166881,6,35.493116,129.4232996,"35.5","129.4"
"1414",167163,21,37.31879,127.0896,"37.3","127.1"
"1415",167162,14,37.31879,127.0896,"37.3","127.1"
"1519",167218,4,37.5553,127.1098,"37.6","127.1"
"1531",167245,6,37.24839,126.9622,"37.2","127"
"1671",166893,6,37.5312,126.8495,"37.5","126.8"
"1713",167201,12,37.61932,127.1402,"37.6","127.1"
"1893",167092,6,36.92249,127.0554,"36.9","127.1"
"2344",166964,8,37.23534,127.2028,"37.2","127.2"
"2597",167031,12,38.00801,128.7279,"38","128.7"
"2910",166730,7,36.1408284,128.3199895,"36.1","128.3"
"2921",167089,1,36.8149648,127.1377947,"36.8","127.1"
"3165",166822,21,37.5577956,126.8580332,"37.6","126.9"
"107",167791,15,37.5553,126.959,"37.6","127"
"124",167293,6,37.64709,127.236,"37.6","127.2"
"360",168701,0,37.46749,127.1287,"37.5","127.1"
"446",168074,6,37.5766,126.9619,"37.6","127"
"646",167715,7,35.493116,129.4232996,"35.5","129.4"
"647",167717,7,35.493116,129.4232996,"35.5","129.4"
"648",167774,6,37.1640654,128.9855649,"37.2","129"
"651",167373,7,37.5351,127.0545,"37.5","127.1"
"779",167515,0,36.99307,127.9376,"37","127.9"
"810",167569,5,37.5512085,127.0662784,"37.6","127.1"
"871",167577,22,36.43801,127.3838,"36.4","127.4"
"872",167578,14,36.43801,127.3838,"36.4","127.4"
"1030",167835,5,37.55944,126.8579,"37.6","126.9"
"1460",167664,14,35.17555,128.1458,"35.2","128.1"
"1532",167395,5,37.24839,126.9622,"37.2","127"
"1614",167548,14,36.3193992,127.3881067,"36.3","127.4"
"1796",167983,22,37.5454212,126.6759723,"37.5","126.7"
"1892",167541,20,36.92249,127.0554,"36.9","127.1"
"1974",167397,5,36.3362953,127.3890247,"36.3","127.4"
"2086",168642,21,36.74872,127.0149,"36.7","127"
"2102",167374,5,37.75862,127.0768,"37.8","127.1"
"2164",167555,7,35.4195,127.4032,"35.4","127.4"
"2192",167462,7,35.2114,129.079,"35.2","129.1"
"2266",167526,20,34.31586,126.7432,"34.3","126.7"
"2267",167525,6,34.31586,126.7432,"34.3","126.7"
"2371",167428,5,37.32087,127.9548,"37.3","128"
"2474",167996,6,37.7547,126.7668,"37.8","126.8"
"2614",168101,21,36.16816,127.2036,"36.2","127.2"
"2648",168314,14,35.0827297,128.8962069,"35.1","128.9"
"2654",167363,14,35.1147019,129.0414006,"35.1","129"
"2809",167514,6,37.5166279,126.8825782,"37.5","126.9"
